nome,valor_hora,horas_trabalhadas
Renie Nolin,35.49,15
Dunn Carrivick,87.87,46
Lian Goly,7.1,77
Myrwyn Bogace,40.38,49
Karrah Francioli,59.93,100
Frederico Dot,32.57,71
Lu Toffoloni,72.59,68
Urban Camolli,15.17,71
Dasha Guilbert,27.76,23
Odo Lucks,84.33,50
Brinna Merwood,71.6,66
Reagan O'Finan,98.77,16
Tamma Tawse,91.3,67
Jorge Fridaye,22.53,98
Nevins Navaro,43.88,4
Ashla Attrie,19.75,5
Correy Ziemens,18.66,58
Brigitte Brisco,37.17,45
Ansel Edyson,90.02,98
Jaymee Pittaway,73.83,33
Dolly Plumbridge,61.37,10
Brandy Carluccio,45.39,25
Goldarina Tripe,47.2,11
Diannne Voules,44.43,53
Ardelia Lovekin,68.74,90
Cybill Huby,56.71,54
Corrie Kinkade,84.42,24
Benjamin Wreakes,50.79,22
Berry Danilevich,1.73,20
Hilton Simmill,69.6,18
Ange Le Brum,29.23,89
Nikolaus Thompsett,57.99,61
Tab Dofty,14.91,28
Abagael Morad,24.92,79
Gwenora Tunnow,49.01,11
Fawne Retter,73.43,30
Eustace Milroy,45.89,35
Demetra Alfonsetti,16.93,56
Maurits Duesbury,41.94,54
Kathe Jickells,60.24,38
Gwen Ruberti,22.88,75
Sigismund Eva,34.87,90
Ammamaria Gwinnel,92.41,77
Dulce Tack,20.87,77
Hadrian Rzehor,35.42,22
Xena Sleit,90.25,9
Edith Smeal,17.68,5
Lindy Munnis,18.05,5
Hilton Alexandersson,58.81,73
Henrietta MacDearmid,61.35,63
Norma Drew-Clifton,30.27,48
Raimund Dowsing,25.25,91
Mano Konertz,55.67,93
Ivor Naul,20.7,24
Minnnie Batha,42.38,100
Therese Ixor,22.23,26
Mano Scraggs,44.78,82
Alexandros Powrie,58.72,25
Gretal Hudghton,83.94,26
Merrie Oxterby,22.82,84
Bobbie Krimmer,51.46,56
Brig Aliberti,97.22,6
Charis Candelin,16.34,6
Hillyer Sharrocks,6.27,8
Thebault Gilliard,91.71,8
Maxy MacGovern,3.32,48
Denny Earwicker,28.45,2
Zebadiah Kharchinski,71.18,15
Nita Hinners,11.09,77
Brittany Losbie,98.25,12
Claude Daviot,22.7,57
Molli Lockett,94.43,33
Lacee Heilds,5.1,28
Nicol Linwood,37.23,64
Nata Lobe,19.63,6
Melicent Satford,29.44,32
Carmelita Crampsy,43.87,96
George Guerola,36.96,48
Guilbert Hake,58.46,85
Corena Cunio,27.75,97
Cordie Gilbanks,73.34,7
Koressa Braithwait,17.8,3
Ransell Erwin,23.18,68
Gordy Farge,17.3,15
Frannie Scambler,76.36,59
Virgil Gash,5.81,21
Rahal Crielly,57.69,45
Hatti Gerred,46.64,94
Jeniffer Gradwell,5.16,49
Lamond Reagan,84.87,77
Dolorita Richold,61.12,36
Rogerio Ribbens,12.74,80
Issie Hatliff,33.69,52
Devonna Hellicar,96.28,72
Maryann Lehrmann,2.61,76
Grannie Glowinski,11.28,1
Alane Lindores,32.95,40
Thomasina Gaisford,40.42,98
Foster Alecock,73.37,89
Tessi Parley,49.33,94
Karalynn Sweet,53.9,65
Arnoldo Papachristophorou,87.21,52
Bartel Simak,9.9,93
Aviva Quadling,19.25,12
Evelina Bousquet,49.7,63
Arabella Cosser,91.67,42
Alana Richen,86.94,14
Shelby Pighills,81.25,98
Eolande Lowe,9.6,58
Domenico Tring,79.96,37
Masha Sherwood,91.47,61
Kenon Wilcot,55.9,58
Parrnell Verchambre,15.41,6
Jehanna Witheford,8.77,55
Jayme Vannikov,96.78,71
Leyla Woodroof,20.74,44
Aleta Clues,26.26,66
Seth Fritz,49.07,61
Mervin Tyreman,25.54,70
Haywood Peiro,32.2,13
Georgie Bernhardsson,53.26,98
Joshua Ilson,47.28,11
Kassey Murrigan,91.97,23
Olivie Harsant,79.49,4
Vanessa Counihan,39.05,89
Phillis Lithgow,23.17,32
Karalynn Dobrowlski,81.16,73
Arlana Gyorgy,3.02,8
Gale Paolo,74.56,37
Dimitry Vern,9.19,7
Augusta Wanstall,1.27,1
Anatola Danko,89.97,59
Kiah Samwayes,18.49,97
Darwin Helwig,59.69,63
Garald Frigot,68.5,71
Yorgo Miere,4.06,84
Aurelia Antuk,9.13,4
Marrilee Scading,12.39,4
Samuele Thurby,53.57,97
Bernardo Scarasbrick,43.47,98
Ossie Meert,63.13,20
Burr MacElharge,97.12,5
Cecily Grinaway,11.25,55
Guilbert Kimbrough,44.4,33
Ursola Bruun,8.46,96
Leilah Abendroth,33.79,19
Aurel Drowsfield,47.59,77
Ora Nucci,23.58,86
Hyatt Ferrand,89.07,15
Neddie Nears,93.8,99
Jennifer Colegrove,19.29,8
Broddy Groom,30.08,31
Dalt Ugo,7.91,91
Janet Crosseland,99.03,64
Aileen Carding,8.22,88
Rowe Lindsay,43.53,73
Ulla Cornill,53.52,12
Anthia Gradley,92.9,19
Lynette Moore,49.69,64
Olivia Dando,38.2,98
Kristien Tosh,13.08,54
Arabella Badwick,45.87,20
Robinett Marusyak,30.67,54
Saunderson Antoniottii,10.88,42
Cordula Schouthede,95.07,47
Shawna Clute,92.74,47
Elvina Bruckshaw,9.21,97
Syman Kirtlan,61.62,18
Margo Biernat,21.78,93
Padraic Joy,88.63,90
Austin Northover,40.26,5
Meta Rossi,26.33,43
Electra Alelsandrovich,71.0,46
Alberto Lyvon,37.0,51
Cheryl Swift,95.51,35
Genny Grzegorzewicz,28.49,6
Andrej Roylance,46.28,2
Mehetabel Florey,21.75,48
Abbey Landor,57.57,37
Abbot Nathon,20.16,15
Humfrid Ruzic,16.41,37
Emelina Varnes,10.84,79
Margaret Poulney,86.29,85
Imogene Tarpey,65.36,94
Marthena McGing,9.06,66
Hobie Roadknight,59.65,51
Evvy Tankin,47.12,73
Krishna Coryndon,99.34,62
Elwood Pedrol,81.43,35
Ailee Leggis,43.48,39
Emmy Cridlon,46.99,85
Dillon Langlais,48.17,61
Krystalle Blagburn,92.84,99
Thayne Clappson,78.29,58
Gilemette Horry,97.33,43
Aldon Pretti,49.79,75
Jacenta Wetheril,82.88,85
Rossie Brookbank,86.08,75
Dodi Hankin,16.64,97
Valerie Cornejo,52.36,42
Samaria Sunley,27.56,80
Charlton Blunsen,46.27,34
Sella Boyes,52.2,65
Charlotta Ianelli,86.3,55
Jacobo Stoyle,22.51,10
Loren Terrill,34.25,33
Elladine Derrington,51.93,35
Perl Reef,47.84,1
Adamo Southcoat,66.49,75
Patton Lambregts,95.89,60
Joan Pettigree,13.89,68
Rubie Sincock,83.09,30
Mahalia Roxburch,83.07,5
Ev Radmer,13.66,100
Hulda Snow,12.51,34
Ignaz Kirby,24.12,32
Melissa Crevagh,6.9,55
Kahlil Aery,62.03,92
Mead Stucksbury,51.31,47
Ewan Negal,77.54,44
Hector Sange,33.14,52
Wilek Wither,67.7,23
Concordia Snalham,47.15,22
Salomi Brigshaw,85.4,41
Sullivan Von Oertzen,79.42,26
Maritsa Beushaw,18.09,36
Lacy Ligertwood,97.34,90
Pat Mort,40.8,98
Ernaline Fearney,11.02,30
Billye O'Shiels,12.96,77
Kenna Mazonowicz,56.3,78
Lissie Veighey,29.23,13
Nahum Trivett,77.7,93
Morgen Ledrun,74.73,2
Otto Izchaki,82.95,65
Frederigo Rumgay,43.97,70
Linoel Matysik,79.92,78
Evelin Gasparro,27.0,40
Cissy Prater,51.66,4
Stacee Brugger,32.21,81
Rhianon Burstow,60.27,52
Homere Tomblett,82.9,78
Tammie Matteris,29.53,56
Dee dee Plumptre,23.83,31
Maggie Antoniottii,10.92,69
Maryann Tarn,38.58,55
Laverne Narraway,9.34,34
Gram Lars,97.49,32
Cobb Crippes,13.41,36
Pattin Clues,7.6,52
Hewe Facey,3.05,65
Eula Jacquemard,34.17,44
Carney Parnell,31.67,60
Dotti Standbrooke,99.53,27
Sander Downham,86.23,55
Tonie Santi,80.61,90
Sarge Ilden,77.75,71
Lesley Clucas,21.58,65
Tresa O'Currigan,87.62,40
Cullin Birth,29.01,13
Norton Wogdon,65.19,89
Nelia Goodship,53.35,53
Magdalene Heam,27.81,59
Hilary Kyd,97.43,97
Beatrisa Bonnick,9.69,13
Costanza Adicot,34.88,48
Hamlen Bruyett,10.3,63
Ilario Shank,33.32,87
Clarette Pleuman,84.99,11
Mahala Girodin,62.52,64
Odessa Reaveley,98.05,38
Kattie Ambrogioli,15.34,2
Fay Satterley,34.72,71
Kenton Regis,13.1,87
Eli Plumb,29.12,31
Darsey Hyslop,79.38,47
Hannis Stephen,68.37,89
Stanfield Maccaddie,7.59,25
Albina Kertess,23.43,5
Elora Attrie,71.66,29
Saunderson Kosel,34.57,71
Brinn Alexsandrev,23.05,99
Wallie Ower,37.84,79
Cly Nellen,90.47,92
Leonanie Dinsmore,99.17,17
Padraig Spandley,23.19,56
Bancroft Critten,1.41,3
Merell Scough,95.4,80
Wiley Walenta,3.69,19
Susanne Sowthcote,73.54,10
Chilton Blackmuir,68.7,28
Dorolisa Greensides,51.41,70
Ardella Matousek,36.26,98
Lowe Jephcott,45.44,5
Gerhardine Stenbridge,9.38,86
Gizela Bettenay,6.94,49
Caleb Gallyhaock,43.28,98
Andriana Pittendreigh,37.18,100
Judi Bleacher,80.29,29
Ninon Tutill,73.32,95
Mayne McWhirter,5.13,60
Mable Benardeau,62.69,55
Noel Gatherer,35.02,94
Calypso Fitzackerley,41.1,80
Ingunna Monteaux,43.93,34
Gerta Taber,12.54,9
Carolyne Rollings,88.56,84
Dierdre Farfull,13.23,35
Inesita Gravet,19.85,52
Ardisj Willard,85.39,76
Derward Probey,99.15,54
Wright McMinn,1.98,59
Pier Grisedale,77.55,91
Cristian Whyffen,23.64,52
Stillmann Trewartha,31.25,45
Marian Pearmine,18.06,68
Rodger Dabernott,63.99,62
Davita Lanfranchi,19.32,23
Pierce Brilleman,88.5,34
Hubie Chattey,38.39,26
Willie Haggleton,17.29,12
Lucio Bridgeman,64.87,36
Roby Ralestone,16.8,97
Vail Brundrett,9.01,10
Grace Clow,1.15,7
Flori Van der Kruys,70.27,29
Willdon Maddyson,56.85,41
Lian Duffy,17.39,34
Jennifer Weymont,1.73,64
Mignonne Ackenhead,50.78,38
Hurley Anthon,42.27,92
Matilde Peasegood,9.98,30
Saundra Dax,70.96,46
Giacomo Kenningham,50.95,73
Juana Plowright,86.36,2
Reta Jermyn,59.56,27
Woody Jorczyk,93.48,21
Erny Bwye,95.08,83
Derril Hedingham,53.51,65
Ebonee Shitliffe,67.28,50
Lizzy Handaside,60.95,81
Merla Espadater,79.03,50
Allayne Fratson,37.71,29
Amye Auchterlony,59.49,7
Grier McIlvaney,41.91,3
Suzanna Gate,22.05,57
Madella Blakesley,92.4,71
Sheff Mateiko,4.72,69
Deedee Galpin,57.13,44
Car McGrouther,85.85,21
Ramona Moncur,87.65,13
Ty Reany,31.05,14
Chariot Ughi,16.23,27
Abbi Kenyon,60.19,38
Phedra Edards,60.91,85
Ulises Cleeve,22.47,50
Avril Danielot,17.63,91
Beatrisa Skews,84.18,89
Myron Bartoli,9.41,8
Miles Lupson,88.22,24
Bernelle Mateuszczyk,21.55,82
Mary Kosiada,38.46,78
Bernadine Woller,31.74,50
Patricio Rosoman,23.84,43
Daniela Pilmer,55.15,88
Lacy Lean,86.83,59
Alfonso Deshon,21.25,36
Chancey Revett,67.51,52
Obed McGonagle,76.39,96
Maribeth Stollenberg,82.96,38
Vanya Mar,22.34,94
Krishnah Dobbs,74.41,31
Giles Tolman,47.79,100
Francois Lockyer,39.92,27
Kay Lorrimer,91.24,11
Talia Louche,70.02,40
Francoise Hendriks,50.2,3
Orlando Henrion,81.64,22
Homer Gowrich,98.52,51
Edd Livens,5.15,82
Marwin Andrioletti,90.07,22
Willey Batteson,35.41,9
Lucinda Ofield,23.16,52
Lorettalorna Delhay,92.22,92
Redd Otridge,69.7,78
Nelia Mattiuzzi,47.93,7
Seana Tunn,33.86,85
Robby Lowin,13.66,84
Sibel Lopez,82.39,2
Tiffy Smoth,89.33,15
Trev Ielden,49.68,55
Elspeth Vasilischev,46.7,55
Ree Bartolomeo,80.42,4
Rosanna Cuddon,87.68,43
Gaylene McArley,1.24,31
Cybil Ashdown,1.24,70
Nert Donavan,20.18,97
Jeno Levecque,26.3,66
Fields Gelardi,96.33,75
Dorrie Cardenosa,38.27,64
Pansie Sainsbury,61.1,98
Lorne Cromarty,61.73,30
Aubrie Chooter,38.73,42
Bo Doy,14.97,23
Demeter Foskew,30.34,52
Veda Sitch,72.3,87
Wilbert Chitter,40.33,46
Mariel Germaine,70.11,55
Chantalle Stivey,93.82,5
Carver Fawdry,10.4,41
Marcia Juszkiewicz,94.79,12
Siusan Rousel,88.36,83
Chico Brodley,31.03,87
Harli Becks,75.17,16
Pasquale Hemphrey,96.19,70
Vitoria Dibb,59.77,86
Jody Guerriero,25.91,14
Stillmann Kuzemka,19.45,35
Isidore Krystof,33.07,4
Willetta Briereton,21.39,62
Charil Hindhaugh,7.71,68
Andris Schulke,7.6,94
Pascale Sawl,66.62,67
Lonna Libri,31.27,36
Cecilio Libbe,41.82,49
Tobey Noorwood,69.28,2
Linnea Aaron,90.96,72
Cleopatra Gouley,33.47,36
Averell Frankish,31.81,63
Deni D'Adamo,96.43,29
Bridget Marran,21.61,15
Fawnia Kellogg,79.66,68
Flor Huggin,7.11,36
Ninette Sowrey,55.2,87
Luz Beggini,68.78,51
Bradley Juara,63.59,65
Brittany Eagles,94.8,25
Langsdon Berg,34.27,21
Jacquie Linacre,66.82,39
Dirk Baulcombe,6.68,22
Fernande O'Duilleain,32.74,30
Benjamen Rassmann,65.08,94
Keslie Capener,9.26,2
Rosmunda Phair,83.05,10
Heall Miettinen,16.75,29
Ganny Cheese,28.98,52
Hebert Groucock,21.71,77
Nicola Fordham,36.0,9
Laura Baribal,62.47,70
Paton Piell,5.15,10
Ernie Payler,73.06,19
Gilbert Duke,40.48,30
Ermentrude Fost,94.02,51
Dollie Curton,94.78,16
Val Waddilow,13.86,15
Dniren Cicutto,4.69,98
August Abrahamsson,11.85,64
Devonna Karpinski,72.72,91
Patrice McReidy,2.92,3
Fae Brimilcombe,88.43,6
Agnese Pariss,67.09,51
Hersch Blemings,39.86,73
Peyter Inchan,31.04,63
Betteanne Peacop,61.08,37
Nikki Bruin,47.73,36
Flossie McAnulty,52.61,35
Trudy Atcheson,32.12,91
Jard Hark,36.73,97
Arlinda Olland,68.6,94
Doe Sweetsur,19.48,23
Lucinda Darlington,97.02,92
Kimberley Revell,88.68,46
Conant Bome,19.77,1
Billy Hedau,43.07,37
Jeno Riediger,19.54,54
Mora Paolini,48.33,83
Lizabeth D'Alessandro,53.33,64
Jared Veryan,95.9,50
Camey Decort,39.54,90
Karry Keeley,69.66,89
Murdoch Muff,27.57,86
Bernice Lowy,98.38,27
Dominga Parkhouse,40.21,96
Elie McAndie,65.56,21
Norah Bowerbank,92.2,57
Cissiee Trelease,25.91,66
Whitby Attwoul,48.57,17
Shurlocke Jimenez,90.53,63
Anya Lygo,41.39,99
Grove Simson,50.81,36
Anthiathia Kienzle,57.52,42
Codie Forty,96.16,18
Sheeree Speers,41.52,53
Ofilia Stickland,4.38,19
Terence Renneke,78.78,75
Paolina Johantges,40.41,96
Trudey Allicock,80.74,3
Wolfy Kupker,79.82,89
Bartram Lindner,38.29,14
Enrika Desborough,16.03,75
Linette Camamill,22.23,22
Micah Mansour,35.12,3
Marinna Treece,42.15,23
Audy Cady,18.54,28
Reinhold Rothman,47.76,89
Janeen Okill,21.32,5
Ford Larkkem,21.32,2
Carl Hogben,18.96,82
Madel Kubis,75.88,65
Eustacia Laxston,55.45,71
Linnea Filasov,18.85,47
Portie Alexandrescu,82.75,19
Ingamar Mahady,32.95,32
Sheffy Goldfinch,83.7,19
Shawn Zorzoni,19.01,72
Bea Velden,71.83,11
Angelika Kilrow,65.46,29
Aridatha Taffe,32.89,77
Arman Anfusso,46.43,81
Nahum Gurko,46.19,19
Joe Plumptre,2.46,59
Sondra Czapla,18.31,34
Camey McPolin,32.35,27
Rafaelia Leinster,48.3,79
Kylen Varsey,77.41,16
Hildagarde Skryne,88.82,20
Krispin Petasch,29.56,42
Beret Greenside,12.66,61
Odelle Ivery,85.34,38
Caralie McCaskill,73.19,65
Branden Phillot,87.93,5
Tobias Maskew,27.89,6
Rachelle Arney,76.96,53
Dorey Smewing,47.27,3
Salaidh Gonnard,80.93,50
Samantha Perks,63.55,74
Kassey Sucre,47.78,100
Derrik Ewert,16.81,97
Norri Frangleton,54.16,99
Karla Mapother,13.34,16
Jesse Arrell,24.95,25
Mame Kerss,73.23,72
Minette Atton,81.03,29
Ronnica Cockill,51.16,83
Henri Oubridge,60.27,39
Mae Illing,3.07,28
Catharine Bodill,3.78,70
Leda Poltun,10.65,98
Candra Penhaleurack,4.88,17
Yetta McCallion,93.63,29
Dehlia Frogley,9.44,66
Dania Bickerdike,8.91,24
Batsheva Iglesias,29.32,5
Florian Tedstone,89.28,99
Kimbra Kinnear,45.61,48
Agosto Kersaw,67.03,68
Hardy Dunseath,42.31,89
Fletcher Lorryman,95.98,90
Agace Huikerby,61.06,49
Helge Simnel,40.76,96
Alexine Kehir,17.58,18
Lauritz Manuello,9.53,88
Enrika Glasgow,81.98,44
Barby Domenicone,89.84,12
Swen Bunworth,78.46,70
Hardy Drewery,80.6,62
Kienan Pattemore,75.65,55
Mack Heckle,79.83,15
Noreen Anyon,77.34,46
Berrie Simison,99.03,14
Averyl Dungey,99.17,52
Amie Iaduccelli,23.67,74
Irwinn Cheke,66.01,6
Drusilla Jantot,35.64,71
Odell Thorneley,9.86,5
Samaria Cruess,3.56,76
Madelaine Rivlin,59.36,33
Mervin Daville,82.06,16
Thomas Walshe,54.86,60
Sean Hatry,58.89,35
Charity Moyce,86.92,27
Derk McNulty,30.91,59
Justin Gammel,30.49,38
Larry Greig,17.99,42
Caspar Daintith,7.9,13
Ethel Gladyer,65.8,22
Martynne Leeuwerink,31.42,66
Nobie Briggdale,59.27,16
Jolene Olman,45.51,53
Phyllida Souter,58.55,90
Lyndsey Brisker,26.74,13
Gabbey Greydon,55.36,54
Erasmus Axel,40.36,21
Monro Ollett,99.62,58
Ryley Garber,20.38,37
Antoinette Scough,4.71,9
Brett Silverston,53.34,86
Cherin Boutell,74.27,38
Marcille Sheering,46.02,90
Staffard Skiggs,96.6,57
Ralf Whetnell,72.27,80
Henrie Gambrell,46.41,30
Sofie Haverty,31.16,58
Sebastiano Ruddin,70.34,100
Isobel Teffrey,49.93,66
Morris Widd,70.51,76
Staci Pirrie,21.94,66
Cammy Klaves,37.49,10
Jeremiah McVeighty,35.04,8
Ivonne Swift,15.28,68
Ferrel Stubbes,83.89,62
Tiphanie Arlott,47.54,97
Darill Sheen,8.95,50
Trueman Skipp,40.95,56
Celestine Belcham,84.49,43
Mollee Laurencot,93.04,40
Roland Baughen,63.97,10
Ivy Doggerell,88.59,72
Geoff Brumble,57.86,18
Massimo Heggs,60.4,22
Lydie Ropp,37.2,54
Gordon Northway,76.18,17
Guenna Le Noire,30.27,95
Velvet Shewry,8.0,80
Shawna Camelin,6.94,42
Noam Accum,81.85,38
Alfons Blueman,59.39,97
Fallon Katt,79.4,78
Marilin Gilding,11.11,51
Corny Mitford,3.12,58
Chrystel Tocqueville,41.7,29
Kikelia Rapaport,65.98,32
Olwen McAlpin,63.3,24
Layney McLarty,78.17,18
Cookie Jopke,84.99,64
Yvon Dunbabin,86.69,25
Giacomo Melpuss,83.68,49
Cherish Pimer,50.48,85
Royal Griffitts,41.94,11
Ruben Austen,68.31,29
Barbabra Blackborne,44.12,82
Linnell Feitosa,83.82,25
Raine Pinchbeck,53.11,65
Raeann McCourt,31.9,31
Jarrid Rawlison,1.47,52
Conroy Licciardello,8.57,95
Rodina Rambadt,81.26,4
Burk Malatalant,33.5,9
Emilio Lynskey,10.71,79
Wynn Leggitt,79.56,58
Wald Blaby,69.52,42
Sean Byford,90.36,35
Palmer Sillars,71.22,54
Forester Leith-Harvey,42.02,10
Donnamarie Pakes,27.06,10
Arthur Corro,47.19,37
Pietra Obin,82.73,90
Ivor Francioli,82.57,17
Zak Feragh,1.11,86
Kendall Neill,23.67,18
Dayna Moreby,27.96,94
Vanya Perceval,20.9,23
Abbey Skettles,80.28,43
Audra Maase,79.06,2
Melonie Sucre,43.38,59
Giuseppe Bailes,99.64,38
Findley Hallgarth,63.68,16
Kerwinn Raspison,88.84,5
Stoddard Kobu,38.16,14
Lutero Alexander,46.08,69
Peggy Lindbergh,86.74,10
Gherardo Jerrans,39.04,68
Gretel Featley,70.28,2
Kaile Jestico,94.52,31
Brittan Oleszkiewicz,63.5,49
Jameson Pettus,47.31,63
Gracia Greggor,28.17,93
Jaime Nadin,89.06,11
Ryan Fritchley,2.23,16
Ethan Rowcliffe,81.23,66
Aloisia Stavers,23.28,48
Vida Tsar,73.8,1
Jocelyne Scoines,24.47,80
Selestina Pietri,40.73,62
Anabel Cordey,48.14,99
Davey Krause,89.7,65
Clayson Deguara,11.96,60
Sidonnie Sapir,32.96,58
Bettina Muttitt,5.25,96
Tildi Brandes,20.64,66
Davina Coarser,21.79,25
Shelby O' Scallan,9.93,3
Susanna Domican,2.11,74
Gwendolyn Vlasenkov,68.9,100
Abby Ceeley,54.83,21
Antonius Ondrousek,81.24,40
Dianne Dollin,21.46,17
Elfrida Pentycross,80.18,25
Beck Dewhirst,55.22,32
Way Starbeck,92.78,96
Jasmin Happer,49.21,80
Sandra Peirone,79.16,19
Norbert Hullbrook,86.0,41
Dion Salaman,69.32,23
Cosme Norcock,25.11,38
Cassy Patrono,12.74,37
Linn Ludgrove,87.66,89
Jory Dreakin,86.57,68
Legra Pearse,29.01,58
Anna-diana Shortcliffe,68.31,79
Deanne Carrington,25.12,18
Silvie Ryman,64.99,91
Margaret Aslie,43.17,44
Starr Kingscott,4.34,89
Almeria Maber,45.27,25
Harcourt Esel,62.89,96
Jorgan Wenban,36.93,2
Ruddy Lukash,66.98,35
Dode Horsfield,94.38,66
Ansley Gierok,19.26,35
Cristy Ings,85.64,52
Steven Alexandrescu,68.74,20
Ogden Huyche,88.23,74
Shaun Bemand,13.35,34
Norri Gyrgorwicx,84.57,23
Grace Virgo,7.29,89
Brockie Beckers,51.13,74
Wilt Troutbeck,14.12,86
Ricki Itzkovsky,73.54,32
Gerri Aguirre,58.21,90
Chandra Balstone,37.65,73
Dannye Trigwell,38.94,98
Kameko Nulty,36.5,68
Nevil Breewood,25.68,69
Dugald Iltchev,47.04,21
Louella Grassick,83.37,80
Maudie Leake,98.0,54
Darlleen Ketteman,58.68,81
Doll Binton,78.53,9
Berkeley Bente,60.64,42
Jaynell Tommen,97.62,79
Sabrina Winfred,7.5,7
Yorgo Mackrill,53.69,49
Ewart Robertis,15.99,73
Orella Ife,40.06,10
Kean Lowless,76.21,99
Bryn Faro,45.58,84
Elvin Cherry,31.92,21
Gussy Jacobsen,19.38,40
Skipp Gentsch,45.11,35
Alissa Pettis,77.2,2
Vanda Mallender,74.79,1
Sebastian Bursell,71.01,67
Iolanthe Beswick,9.57,7
Jenna Broadway,68.89,47
Fanya Revell,41.64,38
Jodi Starford,34.7,81
Willis Teague,51.43,61
Donielle Leggat,60.09,53
Gillian Duigenan,60.12,60
Katlin Sapsford,5.67,100
Elwin Larciere,33.92,33
Torey Gretham,85.63,42
Anita Isaaksohn,18.93,31
Beltran Kayes,47.27,65
Niko MacIlhargy,7.81,90
Lura Canavan,20.37,53
Davidde Kiddye,85.14,12
Alric Puddifer,15.36,73
Rudolf Rishworth,37.48,31
Dotti Harrod,47.16,55
Mady Hirtz,26.43,43
Curran Drache,38.83,21
Chantalle Christoffels,49.74,39
Emlyn Samwyse,18.28,100
Nicky Gethen,77.31,56
Madonna Longstaff,90.89,83
Darci Juster,22.49,19
Rhianon Lavall,37.71,52
Jerrine Bowell,44.93,31
Selie Ramel,56.55,26
Ynez Iacovelli,99.81,17
Cam Eshmade,77.81,95
Lucio Darbishire,5.98,66
Karel Girton,57.85,37
Rudolf Sullens,11.27,17
Lorrie Tyers,42.29,52
Ashlee Stoneham,72.19,100
Kaitlin Lockart,9.45,83
Meggy Gosdin,6.01,5
Inesita Bartolini,3.95,64
Krishnah Vinter,4.09,39
Theresa Cracie,88.85,10
Ardella Farnorth,54.24,27
Pooh Dachey,99.66,49
Mohandas Hoffman,23.5,30
Gordan Codeman,19.19,95
Annamaria Mullaney,25.66,86
Herbie Bourgeois,37.9,35
Dinah Mathivon,7.43,71
Kaja Moors,26.12,46
Bunni Danigel,60.83,43
Rudy Andreolli,46.13,100
Bordy Carrington,19.21,29
Darrel Farrar,77.58,62
Tammy Maytum,38.18,9
Stephana Chasier,76.58,96
Margi Allenby,34.05,88
Alonso Aitken,1.47,48
Jodee Dorken,18.07,12
Carline Radbourn,3.72,47
Tori Bramich,92.62,6
Maxy Skones,77.75,99
Wat Eplett,96.99,26
Flin Crannell,82.99,55
Aeriell Menel,69.59,42
Tammie Peasnone,75.25,46
Graeme Kisar,50.8,12
Jocelin Bowton,64.17,25
Levy Atmore,11.13,19
Nevins Starmer,83.52,70
Web Shenley,79.63,90
Enrika Vigers,5.93,17
Hortense Demongeot,35.07,4
Walker Dyter,78.31,76
